Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
stroop_stroopnm_rs_diffrt,stroop,,text,Stroop-nonmatch-RS: difference RT(msec) = meanRT(incnm-RS) minus meanRT(connm-RS),,,number,,,,,,,,,
stroop_stroopm_diffrt,stroop,,text,Stroop-match: mean diff RT(msec) =  (Stroop-match-RR + Stroop-match-RS)/2,,,number,,,,,,,,,
stroop_stroopnm_diffrt,stroop,,text,Stroop-nonmatch: mean diff RT(msec) =  (Stroop-nonmatch-RR + Stroop-nonmatch-RS)/2,,,number,,,,,,,,,
stroop_stroop_rr_diffrt,stroop,,text,Stroop-RR: mean diff RT(msec) =  (Stroop-match-RR + Stroop-nonmatch-RR)/2,,,number,,,,,,,,,
stroop_stroop_rs_diffrt,stroop,,text,Stroop-RS: mean diff RT(msec) =  (Stroop-match-RS + Stroop-nonmatch-RS)/2,,,number,,,,,,,,,
stroop_stroopm_rr_z,stroop,,text,Z-score for Stroop-match-RR: difference Z-score = Z(incm-RR) minus Z(conm-RR),,,number,,,,,,,,,
stroop_stroopnm_rr_z,stroop,,text,Z-score for Stroop-nonmatch-RR: difference Z-score = Z(incnm-RR) minus Z(connm-RR),,,number,,,,,,,,,
stroop_stroopm_rs_z,stroop,,text,Z-score for Stroop-match-RS: difference Z-score = Z(incm-RS) minus Z(conm-RS),,,number,,,,,,,,,
stroop_stroopnm_rs_z,stroop,,text,Z-score for Stroop-nonmatch-RS: difference Z-score = Z(incnm-RS) minus Z(connm-RS),,,number,,,,,,,,,
stroop_stroopm_z,stroop,,text,Z-score for Stroop-match: mean Z-score = (Z-score Stroop-match-RR + Z-score Stroop-match-RS)/2,,,number,,,,,,,,,
stroop_stroopnm_z,stroop,,text,Z-score for Stroop-nonmatch: mean Z-score = (Z-score Stroop-nonmatch-RR + Z-score Stroop-nonmatch-RS)/2,,,number,,,,,,,,,
stroop_rr_z,stroop,,text,Z-score for Stroop-RR: mean Z-score = (Z-score Stroop-match-RR + Z-score Stroop-nonmatch-RR)/2,,,number,,,,,,,,,
stroop_rs_z,stroop,,text,Z-score for Stroop-RS: mean Z-score = (Z-score Stroop-match-RS + Z-score Stroop-nonmatch-RS)/2,,,number,,,,,,,,,
stroop_complete,stroop,,,,,,,,,,,,,,,
